Merchant ID,Country,Email,Phone Number,Channel,Transaction Count,Refund Count,Transaction Amount (MYR),Refund Amount (MYR),Refund Rate (%),Partial Refund Rate (%),Fully Refund Rate (%),Refund Level
Murphy Inc,Thailand,vgriffith@monroe-reyes.info,+1-704-570-9880,"DuitNow QR Offline, FPX, TNG eWallet Offline, PayLater by Grab, DuitNow QR, TNG eWallet, Google Pay, Shopee PayLater, Visa, Apple Pay, Mastercard",852,54,82157.46,5998.0,6.34,14.81,85.19,high
Richardson-Warren,Thailand,martinbenjamin@mitchell-carlson.info,(745)594-2304x3677,"DuitNow QR Offline, FPX, TNG eWallet Offline, TNG eWallet, Shopee PayLater, DuitNow QR, Google Pay, Visa, Apple Pay, Mastercard, PayLater by Grab",1392,88,141253.74,9534.09,6.32,18.18,81.82,high
Sweeney-Thompson,Singapore,katherinepatel@rush.com,9563718031,"FPX, DuitNow QR, TNG eWallet, Mastercard, DuitNow QR Offline, TNG eWallet Offline, Shopee PayLater, Visa, PayLater by Grab, Google Pay, Apple Pay",1369,86,133057.78,9350.97,6.28,18.6,81.4,high
"Lambert, Williams and Phelps",Singapore,kgardner@williams-barry.biz,499-716-1915x612,"TNG eWallet, DuitNow QR, Mastercard, DuitNow QR Offline, FPX, TNG eWallet Offline, Apple Pay, Shopee PayLater, Visa, PayLater by Grab, Google Pay",2133,133,213586.72,12819.27,6.24,10.53,89.47,high
Parker Ltd,Singapore,michaelpace@boyd.biz,805.707.2287,"TNG eWallet, TNG eWallet Offline, FPX, Apple Pay, Visa, DuitNow QR, Google Pay, Mastercard, DuitNow QR Offline, PayLater by Grab, Shopee PayLater",2394,149,220926.04,11481.62,6.22,18.12,81.88,high
Cannon and Sons,Singapore,william12@cuevas-whitaker.org,001-235-312-3950x48748,"TNG eWallet Offline, DuitNow QR Offline, FPX, DuitNow QR, Mastercard, PayLater by Grab, TNG eWallet, Shopee PayLater, Apple Pay, Visa, Google Pay",1506,93,143613.5,7884.66,6.18,11.83,88.17,high
Cruz-Hutchinson,Malaysia,ronald23@gates-peterson.com,001-274-759-7202x030,"FPX, DuitNow QR, Shopee PayLater, Mastercard, Visa, TNG eWallet, DuitNow QR Offline, TNG eWallet Offline, Apple Pay, PayLater by Grab, Google Pay",1498,91,144992.55,7191.79,6.07,24.18,75.82,high
Jordan Ltd,Singapore,jjackson@reynolds.com,+1-285-417-2466x765,"TNG eWallet, PayLater by Grab, DuitNow QR, FPX, Mastercard, Visa, TNG eWallet Offline, Google Pay, DuitNow QR Offline, Shopee PayLater, Apple Pay",1718,104,170032.83,9740.62,6.05,13.46,86.54,high
Reid Group,Singapore,psparks@howe.org,490-777-3437x479,"TNG eWallet, Shopee PayLater, DuitNow QR, Mastercard, FPX, DuitNow QR Offline, Visa, TNG eWallet Offline, Google Pay, PayLater by Grab, Apple Pay",1252,75,132459.41,10021.85,5.99,14.67,85.33,average
"Nichols, Farmer and Floyd",Singapore,monique87@macdonald.net,+1-850-860-4676,"Visa, Apple Pay, TNG eWallet Offline, DuitNow QR Offline, TNG eWallet, DuitNow QR, Shopee PayLater, Mastercard, FPX, PayLater by Grab, Google Pay",1689,101,157164.46,11783.54,5.98,16.83,83.17,average
Lee Group,Singapore,clarkedward@alexander.net,8609492672,"Shopee PayLater, TNG eWallet Offline, Google Pay, Apple Pay, TNG eWallet, PayLater by Grab, FPX, DuitNow QR, Mastercard, Visa, DuitNow QR Offline",1278,76,135854.79,6475.26,5.95,11.84,88.16,average
"Taylor, Colon and Hart",Malaysia,johnsonjames@greene.net,001-389-642-8877,"TNG eWallet, FPX, DuitNow QR Offline, TNG eWallet Offline, Mastercard, PayLater by Grab, Apple Pay, Visa, DuitNow QR, Shopee PayLater, Google Pay",1197,71,116701.13,8263.23,5.93,19.72,80.28,average
Martinez-Lewis,Malaysia,ernestcunningham@davis.com,001-650-303-3398x168,"FPX, DuitNow QR Offline, TNG eWallet, Google Pay, Mastercard, TNG eWallet Offline, Visa, DuitNow QR, Shopee PayLater, Apple Pay, PayLater by Grab",776,46,72684.48,2098.78,5.93,17.39,82.61,average
Hudson-Graham,Malaysia,luis03@simmons-patel.org,262-554-9692x57361,"TNG eWallet, FPX, DuitNow QR Offline, Visa, DuitNow QR, Google Pay, TNG eWallet Offline, PayLater by Grab, Shopee PayLater, Mastercard, Apple Pay",2236,132,206824.94,9451.55,5.9,17.42,82.58,average
Russell and Sons,Singapore,morristimothy@peters-foley.com,001-223-713-9570x39659,"TNG eWallet, DuitNow QR, TNG eWallet Offline, Visa, FPX, DuitNow QR Offline, Shopee PayLater, Apple Pay, Mastercard, PayLater by Grab, Google Pay",1497,88,163215.05,9316.89,5.88,18.18,81.82,average
Pineda PLC,Thailand,rogersshelby@olson.com,342.932.4351,"Apple Pay, TNG eWallet Offline, DuitNow QR, Mastercard, PayLater by Grab, FPX, TNG eWallet, Shopee PayLater, DuitNow QR Offline, Visa, Google Pay",918,54,81204.7,4073.98,5.88,12.96,87.04,average
"Aguilar, Bonilla and Lee",Singapore,rogeroneill@patterson.net,4125531630,"DuitNow QR, DuitNow QR Offline, Shopee PayLater, Mastercard, Google Pay, FPX, TNG eWallet, PayLater by Grab, TNG eWallet Offline, Visa, Apple Pay",1280,75,132570.31,10561.6,5.86,18.67,81.33,average
Shah Group,Singapore,thompsonmatthew@santiago.org,001-741-670-1921x1941,"DuitNow QR Offline, FPX, TNG eWallet, Mastercard, Apple Pay, DuitNow QR, PayLater by Grab, TNG eWallet Offline, Visa, Google Pay, Shopee PayLater",1813,106,172828.62,8481.69,5.85,10.38,89.62,average
"Schmidt, Smith and Ramirez",Thailand,gmelendez@moore.com,+1-557-569-9958x732,"DuitNow QR Offline, TNG eWallet Offline, Mastercard, TNG eWallet, FPX, DuitNow QR, Visa, Shopee PayLater, PayLater by Grab, Google Pay, Apple Pay",1505,88,143685.48,7719.05,5.85,12.5,87.5,average
"White, Flores and Lucas",Singapore,richardwoods@kennedy.com,990.706.1613x9351,"DuitNow QR Offline, TNG eWallet, Visa, TNG eWallet Offline, DuitNow QR, Mastercard, FPX, Google Pay, PayLater by Grab, Shopee PayLater, Apple Pay",1300,76,135275.01,11119.24,5.85,21.05,78.95,average
Bender-Underwood,Singapore,hernandezshannon@evans.com,(204)391-2312,"DuitNow QR Offline, Visa, DuitNow QR, FPX, Mastercard, TNG eWallet, TNG eWallet Offline, Shopee PayLater, Google Pay, PayLater by Grab, Apple Pay",1326,77,140023.13,6490.34,5.81,18.18,81.82,average
"Ingram, Pratt and York",China,jhayes@griffin.com,001-696-491-6581,"TNG eWallet, TNG eWallet Offline, Apple Pay, DuitNow QR, DuitNow QR Offline, Mastercard, Visa, FPX, Google Pay, Shopee PayLater, PayLater by Grab",1362,79,131256.72,5810.32,5.8,17.72,82.28,average
Johnson-Wright,Malaysia,lking@thomas-house.com,422-292-9483x53218,"TNG eWallet, TNG eWallet Offline, Google Pay, Mastercard, DuitNow QR Offline, Visa, FPX, DuitNow QR, PayLater by Grab, Shopee PayLater, Apple Pay",1830,106,172356.53,9637.47,5.79,11.32,88.68,average
"Reyes, Blackwell and Jenkins",Thailand,timothy53@nelson.net,8162405590,"DuitNow QR Offline, Visa, Mastercard, FPX, TNG eWallet, DuitNow QR, TNG eWallet Offline, Shopee PayLater, PayLater by Grab, Google Pay, Apple Pay",1199,69,109863.97,4905.7,5.75,8.7,91.3,average
Garrison-Hoffman,China,andrew47@henson-potter.com,550-542-0527,"TNG eWallet, FPX, Shopee PayLater, DuitNow QR Offline, DuitNow QR, Mastercard, Visa, Google Pay, PayLater by Grab, TNG eWallet Offline, Apple Pay",1640,94,147061.16,6972.38,5.73,13.83,86.17,average
Christensen-Cole,Singapore,sarathompson@cole.net,001-525-418-6819x5388,"DuitNow QR Offline, PayLater by Grab, TNG eWallet, Mastercard, Visa, TNG eWallet Offline, FPX, DuitNow QR, Apple Pay, Shopee PayLater, Google Pay",1926,110,176843.14,10240.53,5.71,11.82,88.18,average
"Schmitt, Murphy and Warner",China,longjose@leach-downs.info,285.409.6910x57000,"DuitNow QR Offline, Apple Pay, TNG eWallet Offline, DuitNow QR, FPX, Visa, TNG eWallet, Google Pay, Mastercard, Shopee PayLater, PayLater by Grab",2155,123,214081.75,12827.68,5.71,13.01,86.99,average
Hunter and Sons,Singapore,tyler56@golden-vasquez.com,353-444-5968x166,"DuitNow QR, Mastercard, TNG eWallet, FPX, DuitNow QR Offline, Visa, Apple Pay, Google Pay, TNG eWallet Offline, Shopee PayLater, PayLater by Grab",1704,97,158162.16,9605.13,5.69,9.28,90.72,average
Kerr-Taylor,Singapore,nicholaspratt@blake.net,4288766708,"TNG eWallet Offline, Mastercard, DuitNow QR Offline, Apple Pay, FPX, Visa, DuitNow QR, Google Pay, TNG eWallet, Shopee PayLater, PayLater by Grab",845,48,80432.4,2810.09,5.68,18.75,81.25,average
Perez-Gardner,Singapore,jennifer64@patterson-case.biz,8176033386,"DuitNow QR, PayLater by Grab, Shopee PayLater, Google Pay, Mastercard, FPX, TNG eWallet, DuitNow QR Offline, Visa, TNG eWallet Offline, Apple Pay",2113,120,195086.73,8118.95,5.68,15.0,85.0,average
Dunn-Lucas,Singapore,adamsjeff@morrison.com,9586584484,"TNG eWallet Offline, TNG eWallet, DuitNow QR Offline, DuitNow QR, Visa, Google Pay, FPX, Mastercard, PayLater by Grab, Apple Pay, Shopee PayLater",1114,63,102202.85,5238.52,5.66,11.11,88.89,average
"Maynard, Green and Cook",Singapore,watsonsydney@hernandez.com,001-371-857-9186,"TNG eWallet, DuitNow QR, Visa, PayLater by Grab, Google Pay, TNG eWallet Offline, FPX, Mastercard, Apple Pay, DuitNow QR Offline, Shopee PayLater",1430,80,144943.48,6178.12,5.59,13.75,86.25,average
"Jones, Cole and Haynes",Thailand,whitejoshua@francis.net,564.249.2019,"Google Pay, DuitNow QR Offline, Visa, TNG eWallet, FPX, DuitNow QR, TNG eWallet Offline, Shopee PayLater, Apple Pay, Mastercard, PayLater by Grab",1913,107,186950.16,7801.44,5.59,13.08,86.92,average
Martinez-Harvey,Malaysia,emiller@white.com,507-721-5280x99799,"DuitNow QR, PayLater by Grab, TNG eWallet Offline, Mastercard, Visa, DuitNow QR Offline, Shopee PayLater, Apple Pay, FPX, TNG eWallet, Google Pay",2648,147,255083.6,9213.08,5.55,17.69,82.31,average
"Dixon, Goodwin and Williams",Singapore,hatfielddana@walker-mccarthy.com,667.280.5939x2029,"TNG eWallet Offline, DuitNow QR Offline, Mastercard, DuitNow QR, Visa, TNG eWallet, Shopee PayLater, FPX, PayLater by Grab, Google Pay, Apple Pay",1032,57,111234.94,7314.97,5.52,19.3,80.7,average
Nolan LLC,China,cindyaguilar@castro-mitchell.net,448-441-0969x0861,"Apple Pay, DuitNow QR, TNG eWallet Offline, Mastercard, TNG eWallet, FPX, DuitNow QR Offline, Visa, Google Pay, PayLater by Grab, Shopee PayLater",2494,137,251314.74,12906.55,5.49,13.87,86.13,average
Jones LLC,China,stephenibarra@shields.com,339-516-8224x1787,"TNG eWallet Offline, DuitNow QR Offline, FPX, Mastercard, TNG eWallet, Visa, Shopee PayLater, DuitNow QR, Apple Pay, Google Pay, PayLater by Grab",1260,69,117950.34,6574.62,5.48,8.7,91.3,average
"Haynes, Jenkins and Cook",Malaysia,joshuahenderson@howard-garcia.com,385-936-3334x9234,"Visa, TNG eWallet, FPX, DuitNow QR, TNG eWallet Offline, Mastercard, DuitNow QR Offline, Shopee PayLater, PayLater by Grab, Google Pay, Apple Pay",1224,67,120970.25,3507.31,5.47,19.4,80.6,average
Mahoney PLC,Singapore,saraaustin@taylor.com,(547)292-1445x910,"Mastercard, Shopee PayLater, TNG eWallet, FPX, DuitNow QR, TNG eWallet Offline, DuitNow QR Offline, PayLater by Grab, Google Pay, Visa, Apple Pay",2284,125,219226.51,11804.79,5.47,14.4,85.6,average
"Juarez, Brown and Wilson",Malaysia,jdaniel@thomas.com,(671)362-6209,"Google Pay, FPX, DuitNow QR Offline, Visa, DuitNow QR, Mastercard, TNG eWallet, TNG eWallet Offline, PayLater by Grab, Shopee PayLater, Apple Pay",934,51,98505.36,4784.83,5.46,15.69,84.31,average
Aguilar Group,Malaysia,joneserin@ward.net,(888)400-1051,"TNG eWallet, DuitNow QR, DuitNow QR Offline, Visa, Shopee PayLater, Mastercard, Apple Pay, TNG eWallet Offline, FPX, PayLater by Grab, Google Pay",2556,138,248985.47,10150.69,5.4,15.22,84.78,average
Gross-Harrington,Singapore,robert51@johnson.info,324-689-6002x3252,"Mastercard, TNG eWallet Offline, TNG eWallet, DuitNow QR Offline, DuitNow QR, FPX, Visa, Google Pay, Shopee PayLater, Apple Pay, PayLater by Grab",1499,80,128778.46,8476.86,5.34,15.0,85.0,average
Rodriguez-Tucker,Singapore,kharris@edwards.com,001-969-980-7646x6706,"FPX, TNG eWallet, DuitNow QR, Visa, Google Pay, Apple Pay, Shopee PayLater, PayLater by Grab, Mastercard, TNG eWallet Offline, DuitNow QR Offline",2675,141,268644.92,13820.01,5.27,12.77,87.23,average
"Owens, Green and Clark",Malaysia,jenniferalvarez@shah.org,5002386740,"TNG eWallet, DuitNow QR, Visa, DuitNow QR Offline, PayLater by Grab, TNG eWallet Offline, Shopee PayLater, Mastercard, Google Pay, FPX, Apple Pay",2034,107,197175.81,6913.53,5.26,11.21,88.79,average
Landry-Moreno,China,katherinelarson@murray-morgan.com,320.353.9180x5315,"TNG eWallet, TNG eWallet Offline, DuitNow QR Offline, Google Pay, FPX, Mastercard, DuitNow QR, Apple Pay, PayLater by Grab, Visa, Shopee PayLater",1380,72,143238.16,8892.73,5.22,5.56,94.44,average
"Le, Hoffman and Fowler",Malaysia,patriciarodriguez@hunt.net,763-303-1917x6620,"TNG eWallet Offline, TNG eWallet, Mastercard, FPX, Shopee PayLater, PayLater by Grab, Visa, Apple Pay, DuitNow QR, DuitNow QR Offline, Google Pay",1228,64,131678.92,6731.34,5.21,7.81,92.19,average
Pruitt LLC,Malaysia,kylegonzalez@thomas.com,721.265.1376x847,"TNG eWallet, DuitNow QR, PayLater by Grab, Visa, FPX, TNG eWallet Offline, Mastercard, DuitNow QR Offline, Apple Pay, Google Pay, Shopee PayLater",2275,118,226260.85,10780.87,5.19,16.1,83.9,average
Soto-Mora,Singapore,yriggs@jones.org,+1-713-312-3709,"TNG eWallet Offline, DuitNow QR, Mastercard, DuitNow QR Offline, Visa, TNG eWallet, FPX, Shopee PayLater, Apple Pay, PayLater by Grab, Google Pay",2038,104,207665.16,9253.89,5.1,13.46,86.54,average
Rodriguez-Sanchez,Malaysia,whitematthew@johnson-dixon.org,+1-720-398-2888x52092,"DuitNow QR, FPX, DuitNow QR Offline, TNG eWallet Offline, Google Pay, Mastercard, Visa, Shopee PayLater, PayLater by Grab, TNG eWallet, Apple Pay",1422,72,142783.65,5123.16,5.06,9.72,90.28,average
"Dodson, Thompson and Perez",Malaysia,elizabethrodriguez@flores.org,9876458317,"TNG eWallet, DuitNow QR, FPX, Mastercard, Visa, PayLater by Grab, TNG eWallet Offline, DuitNow QR Offline, Apple Pay, Shopee PayLater, Google Pay",1450,73,126527.36,7286.3,5.03,12.33,87.67,average
"Williamson, Jones and Higgins",Thailand,wayneroberts@diaz-cruz.com,778-213-9368x784,"TNG eWallet Offline, DuitNow QR, Apple Pay, TNG eWallet, Visa, FPX, DuitNow QR Offline, Mastercard, PayLater by Grab, Google Pay, Shopee PayLater",677,34,61517.41,2852.48,5.02,8.82,91.18,average
"Gonzalez, Klein and French",Thailand,ramosalicia@reed.com,001-311-701-8511x4555,"TNG eWallet Offline, Apple Pay, Google Pay, TNG eWallet, Mastercard, DuitNow QR, FPX, Visa, DuitNow QR Offline, PayLater by Grab, Shopee PayLater",1633,78,178048.76,6050.04,4.78,16.67,83.33,low
"Johnson, Key and Wells",Malaysia,markstrevor@adkins.com,001-836-518-3017,"TNG eWallet, Visa, FPX, DuitNow QR, Mastercard, Apple Pay, TNG eWallet Offline, DuitNow QR Offline, PayLater by Grab, Google Pay, Shopee PayLater",1245,55,110623.25,4868.44,4.42,12.73,87.27,low
"Cox, Clark and Davis",Singapore,andrewsdarius@campbell.com,573.456.1994,"TNG eWallet Offline, DuitNow QR Offline, Google Pay, FPX, TNG eWallet, DuitNow QR, Visa, PayLater by Grab, Mastercard, Shopee PayLater, Apple Pay",771,34,63293.54,2775.7,4.41,5.88,94.12,low
Duncan-Cannon,Thailand,anthonylawson@figueroa-martin.com,996.559.1769,"TNG eWallet, Apple Pay, FPX, Shopee PayLater, Visa, DuitNow QR, Mastercard, DuitNow QR Offline, TNG eWallet Offline, Google Pay, PayLater by Grab",1419,61,133599.41,4178.93,4.3,13.11,86.89,low
