merchant_id,leader_name,create_date,address,country,email,phone,industry
Carroll-Figueroa,Jennifer Wright,2024-09-22,"0388 Sandra Manors Apt. 868, Carlosburgh, VA 55640",United States,weeksjohn@cohen.com,6946956875,Home Goods
Jones LLC,John Sims,2023-04-06,"9807 Mitchell Drive Apt. 274, New Carolyn, MA 82731",China,stephenibarra@shields.com,339-516-8224x1787,Home Goods
Perez-Gardner,Zachary Soto,2024-05-05,"Unit 3924 Box 7064, DPO AE 41222",Singapore,jennifer64@patterson-case.biz,8176033386,Travel
"Schmidt, Smith and Ramirez",Kevin Gibson,2023-09-02,"5025 Smith Stream, Josephport, NJ 11873",Thailand,gmelendez@moore.com,+1-557-569-9958x732,Food & Beverage
Davis-Henderson,Rebecca Young,2023-08-30,"97856 Brittany Mountain Apt. 197, Donaldborough, OH 38724",United Kingdom,nunezjoshua@chung.org,927.861.7171x20777,Home Goods
"Lambert, Williams and Phelps",Gregory Jones,2022-08-10,"7478 Garcia Route, Oliverstad, DC 05044",Singapore,kgardner@williams-barry.biz,499-716-1915x612,Electronics
Murphy Inc,Joshua Jones,2023-07-19,"80804 Foster Field Suite 280, West Charleschester, MI 11177",Thailand,vgriffith@monroe-reyes.info,+1-704-570-9880,Travel
Robinson-Burnett,Sean Mays,2024-03-31,"1473 Lauren Course, Jamesland, CO 98315",United States,bryanchavez@barber.com,001-685-884-9191x8214,Electronics
Shah Group,Steve Mcdowell,2024-07-11,"72407 Arthur Hollow, Lake Adamton, FL 33657",Singapore,thompsonmatthew@santiago.org,001-741-670-1921x1941,Electronics
"Burke, Mann and Schroeder",Cindy Brown,2022-09-15,"058 Cindy Hill Apt. 383, Moorefurt, SC 02403",United Kingdom,cathyhernandez@reynolds.com,5008775284,Apparel
Duncan-Cannon,Jacob Randall,2022-02-28,"487 Miller Lock, North Elizabeth, NE 25081",Thailand,anthonylawson@figueroa-martin.com,996.559.1769,Apparel
Martinez-Abbott,Kyle Hurley,2022-01-19,"50248 Robinson Dam, Ramirezburgh, AK 70811",United Kingdom,prestonadriana@spencer.org,685.735.7115x927,Food & Beverage
"Aguilar, Bonilla and Lee",Cole Scott,2025-10-07,"4212 David Keys, Toniborough, MD 17114",Singapore,rogeroneill@patterson.net,4125531630,Travel
Jones-Prince,Garrett Roberts,2022-01-03,"077 Patrick Center Suite 665, New Michaelside, PW 70741",United Kingdom,carrolleric@jones.com,438.831.7287x02622,Food & Beverage
Christensen-Cole,Steven Pena,2022-12-30,"511 Barnes Route, North Brad, IL 61446",Singapore,sarathompson@cole.net,001-525-418-6819x5388,Home Goods
Nolan LLC,Justin Ross,2024-06-30,"464 Taylor Roads Apt. 609, East Brian, IN 49010",China,cindyaguilar@castro-mitchell.net,448-441-0969x0861,Food & Beverage
Hudson-Graham,Aaron Combs,2023-11-21,"39096 York Falls Apt. 374, Melissafurt, RI 75368",Malaysia,luis03@simmons-patel.org,262-554-9692x57361,Apparel
Garrison-Hoffman,Tiffany Owens,2023-03-16,"1933 Anthony Forge Suite 096, New Andrea, NH 27107",China,andrew47@henson-potter.com,550-542-0527,Food & Beverage
"Levine, Barron and Jones",Breanna Wallace MD,2022-08-12,"857 April Views, Danielberg, AL 73290",United Kingdom,diamond21@kim.com,537.539.2878,Electronics
"Jones, Cole and Haynes",Jorge Diaz,2025-09-17,"56317 Jones Knoll, South Janet, MP 89791",Thailand,whitejoshua@francis.net,564.249.2019,Travel
Rodriguez-Sanchez,Angela Roberson,2023-04-29,"44324 Heather Wall, North Tracyfurt, PA 42615",Malaysia,whitematthew@johnson-dixon.org,+1-720-398-2888x52092,Home Goods
"Nichols, Farmer and Floyd",Matthew Farrell,2023-11-02,"97247 Scott Flat Suite 292, Cunninghamland, NY 53365",Singapore,monique87@macdonald.net,+1-850-860-4676,Electronics
Dunn-Lucas,Joshua Jackson,2022-06-07,"691 George Corners, South Davidview, LA 34294",Singapore,adamsjeff@morrison.com,9586584484,Home Goods
"Gonzalez, Klein and French",Christopher Crosby,2022-02-01,"841 Raymond Estate, Jamestown, OK 98389",Thailand,ramosalicia@reed.com,001-311-701-8511x4555,Electronics
Soto-Mora,Kelly Simmons,2022-06-29,"Unit 1330 Box 2938, DPO AP 68871",Singapore,yriggs@jones.org,+1-713-312-3709,Electronics
"White, Flores and Lucas",Carolyn Bell,2022-07-09,"PSC 8252, Box 3082, APO AE 34907",Singapore,richardwoods@kennedy.com,990.706.1613x9351,Apparel
Davis-Dennis,Julia Campbell,2022-09-05,"1505 Jones Ports, Lake Shannonside, WA 55357",United Kingdom,shill@reese.biz,844-852-2847,Apparel
"Juarez, Brown and Wilson",Michelle Walls,2025-11-24,"65891 Steven Common, Tylermouth, AR 67365",Malaysia,jdaniel@thomas.com,(671)362-6209,Health & Beauty
Aguilar-Gomez,Brenda Young,2024-02-26,"PSC 0042, Box 7545, APO AA 58664",United Kingdom,vmorrison@rasmussen.info,+1-769-521-3342x1765,Travel
"Owens, Green and Clark",Julie Jones,2023-05-19,"3573 Kayla Dam, South Ashleyside, TX 29496",Malaysia,jenniferalvarez@shah.org,5002386740,Health & Beauty
"Stafford, Hood and Ward",Richard Watts,2024-01-20,"246 Kristy Drive, North Sarah, ND 31198",Thailand,michael16@taylor-jacobson.com,720-403-8233x25852,Health & Beauty
"Garcia, Mercado and Potter",Dalton Perez,2024-06-08,"7085 Richardson Trail, Thorntonport, ID 13037",United States,mjordan@hull.com,689.350.8521,Electronics
Rollins-Williams,Katie Burton,2024-05-02,"1285 Peter Terrace Apt. 568, Huberfurt, MP 54667",China,ftaylor@mitchell.org,601-998-6634x3660,Travel
Barron-Fisher,Angela Mclaughlin,2022-10-29,"750 Bryant Fields Apt. 983, South Cameronmouth, PW 48343",United Kingdom,xking@sparks-jones.com,661-735-7381x9501,Health & Beauty
"Johnson, Key and Wells",Christine King,2023-04-14,"72779 Sharon Locks Apt. 474, Grahamton, MP 98405",Malaysia,markstrevor@adkins.com,001-836-518-3017,Apparel
Owens Group,Christine Francis,2023-10-27,"52188 Grant Key, Richardstad, MI 22546",United States,johnsonjoshua@hall.com,538.767.4679,Health & Beauty
"Miller, Espinoza and Hernandez",William Boyd,2023-09-24,"PSC 1196, Box 3425, APO AA 63161",United States,patrick50@pearson.com,(563)224-3004x108,Travel
"Rodriguez, Jackson and Gomez",Charles Rivera,2023-08-21,"17003 Bryan Junctions, Kathrynview, AS 31118",United States,jeffreyhunt@hawkins.info,+1-246-384-8744x940,Travel
"Petty, Rodriguez and Khan",Lisa Robinson,2022-04-02,"49102 John Crossing Suite 596, Katiefurt, NV 69745",United States,pbrown@smith.com,603-593-0477,Home Goods
"Gomez, Valdez and Rodriguez",Caitlin Lewis,2024-05-27,"337 Kennedy Walk Suite 980, Nicoleton, NJ 54878",Thailand,tammy18@kim-smith.com,+1-946-879-3459x6900,Home Goods
"Le, Hoffman and Fowler",Eugene Payne,2024-08-29,"327 Jamie Harbors Apt. 039, Thomasside, MO 50213",Malaysia,patriciarodriguez@hunt.net,763-303-1917x6620,Food & Beverage
"Dodson, Thompson and Perez",Jennifer Keller,2023-06-09,"PSC 4338, Box 8968, APO AE 75505",Malaysia,elizabethrodriguez@flores.org,9876458317,Health & Beauty
Cannon and Sons,Shaun Scott,2023-08-18,"021 Poole Loaf, Kimberlyfurt, OR 86532",Singapore,william12@cuevas-whitaker.org,001-235-312-3950x48748,Food & Beverage
Russell and Sons,Amanda Diaz,2025-10-22,"78229 Ronnie Key, Jamesmouth, NC 70376",Singapore,morristimothy@peters-foley.com,001-223-713-9570x39659,Health & Beauty
Rose-Rubio,Stephanie Reynolds,2025-06-23,"9650 Lopez Orchard, Lake Cynthiaburgh, MA 28361",United States,jessica02@king.biz,944.729.6991,Apparel
"Figueroa, Sanchez and Smith",Joanna Jimenez,2023-09-28,"096 Clifford Square Suite 295, Annborough, ME 02844",United Kingdom,obarnett@woods.com,001-789-750-3006,Home Goods
Parker Ltd,Derek Howell,2025-03-23,"859 Mccoy Locks, East Jennifer, IA 71745",Singapore,michaelpace@boyd.biz,805.707.2287,Health & Beauty
Bowen PLC,Eric Martinez,2025-11-07,"46990 Breanna Plain, Ianbury, DE 61697",United States,skeller@burns.com,395-523-4538x394,Travel
"Reyes, Blackwell and Jenkins",Brandi Fuller,2024-11-25,"17398 Mark Dale, West Marissachester, NM 96806",Thailand,timothy53@nelson.net,8162405590,Electronics
"Knox, Bullock and Bowman",Kayla Brown,2022-04-30,"163 Kelly Inlet Suite 741, Youngtown, DE 06605",Thailand,xfreeman@roberts.com,947.269.5381x133,Electronics
Murphy Ltd,Melanie Jarvis,2023-03-26,"758 Hernandez Avenue, Pacebury, WY 38105",United Kingdom,rking@thompson.com,231-636-9278x0686,Travel
Mcguire Ltd,Kyle Burton,2024-11-09,"440 Emily Club, Tracyport, RI 73608",United Kingdom,gonzalezanne@green-martin.biz,001-321-299-4732x5419,Travel
Cross PLC,George Little,2023-03-22,"522 William Hills, Lake Normanside, KY 35891",United Kingdom,jill34@bradford.info,+1-440-383-8372x406,Health & Beauty
Wall LLC,Jacob Spencer,2022-01-18,"230 Shannon Walk Apt. 242, Perryfort, NY 59524",United Kingdom,snydererin@wade.info,(809)953-6787,Food & Beverage
Kerr-Taylor,Kayla Carroll,2022-05-21,"40320 Veronica Parkway, Ryantown, FL 87925",Singapore,nicholaspratt@blake.net,4288766708,Home Goods
"Williamson, Jones and Higgins",Kenneth Sosa MD,2022-07-03,"879 Renee Valley, Johnville, WY 31374",Thailand,wayneroberts@diaz-cruz.com,778-213-9368x784,Travel
Rodriguez-Tucker,Tracy Dyer,2023-07-08,"562 Jeffrey Ramp Apt. 522, West Sharontown, RI 20415",Singapore,kharris@edwards.com,001-969-980-7646x6706,Apparel
"Roberts, Wong and Morales",Michael Gentry,2022-06-12,"Unit 8466 Box 4251, DPO AE 13379",United Kingdom,fpalmer@simmons.biz,705.310.1353x014,Health & Beauty
"Trevino, Bright and Mendoza",Karl Kennedy,2022-05-07,"562 Keller Glens Apt. 490, Brittanyfort, SD 16321",United Kingdom,williamgregory@garcia.info,+1-848-605-1648x88066,Health & Beauty
"Dixon, Goodwin and Williams",Diane Holmes,2022-01-25,"3240 Kelli Drive, Nelsonton, MO 02683",Singapore,hatfielddana@walker-mccarthy.com,667.280.5939x2029,Food & Beverage
"Taylor, Colon and Hart",Cynthia Parker,2024-09-27,"Unit 0476 Box 5645, DPO AP 80996",Malaysia,johnsonjames@greene.net,001-389-642-8877,Food & Beverage
"Ramos, Moore and Coleman",Bridget Castillo,2024-01-10,"25312 Mora Plain Apt. 608, New John, NJ 81084",United Kingdom,melendezmary@parker.net,(255)310-0655x559,Apparel
Richardson-Warren,Edward Nguyen,2024-08-04,"0809 Jamie Plaza Apt. 333, Williamside, GU 06297",Thailand,martinbenjamin@mitchell-carlson.info,(745)594-2304x3677,Electronics
Aguilar Group,Christy Brennan,2025-12-20,"USS Wang, FPO AA 73574",Malaysia,joneserin@ward.net,(888)400-1051,Travel
"Haynes, Jenkins and Cook",Susan Gonzalez,2025-12-29,"073 Kathleen Estates Apt. 619, East Jimmy, CA 46858",Malaysia,joshuahenderson@howard-garcia.com,385-936-3334x9234,Health & Beauty
"Smith, Ramsey and Holder",Ryan Reese,2025-07-26,"872 Jon Field Apt. 216, Myerschester, TX 29139",United States,brandonmartinez@huff-odom.info,463.990.8406x12858,Travel
"Cox, Clark and Davis",Christina Smith,2022-05-19,"Unit 9468 Box 7937, DPO AA 69412",Singapore,andrewsdarius@campbell.com,573.456.1994,Apparel
Phillips LLC,Robert Williams,2022-09-08,"85251 Holmes Rapid Apt. 707, Port Abigail, AZ 51038",Thailand,nkennedy@wright-patterson.com,+1-745-250-0454x7427,Electronics
Martinez-Lewis,Teresa Porter,2022-09-05,"645 Moore Circles, Stephaniechester, VI 08494",Malaysia,ernestcunningham@davis.com,001-650-303-3398x168,Apparel
Mahoney PLC,Katie Dyer,2023-05-22,"689 Cassidy Forge Suite 242, Paulland, KY 38660",Singapore,saraaustin@taylor.com,(547)292-1445x910,Electronics
Cruz-Hutchinson,Scott Alvarez,2022-04-18,"714 Miranda Pines, Fullerstad, LA 94079",Malaysia,ronald23@gates-peterson.com,001-274-759-7202x030,Travel
Pruitt LLC,Kelly Anderson,2022-04-16,"210 Branch Field Apt. 108, East Karen, TN 61391",Malaysia,kylegonzalez@thomas.com,721.265.1376x847,Apparel
"Williams, Morrison and Larson",Wanda Price,2022-08-27,"3302 Sarah Hill Apt. 281, Brandyton, KY 39408",United Kingdom,bonniebuckley@guzman.com,+1-364-501-9990x58722,Home Goods
"Morton, Harvey and Shelton",Jennifer Gonzalez,2025-09-27,"96835 Oscar Ranch Suite 872, Lake Stacyton, AZ 76979",United Kingdom,ericblack@woods-baird.org,839.940.2087x9349,Home Goods
Johnson-Wright,Kevin Wilson,2025-07-24,"088 Brandon Streets, Warrenport, AS 06937",Malaysia,lking@thomas-house.com,422-292-9483x53218,Home Goods
"Jones, Spencer and Mata",Brandon Austin,2022-11-13,"727 Kristina Haven Apt. 507, Amybury, NE 08299",United Kingdom,philipgraham@ramirez.org,(287)863-3794x9935,Home Goods
"Mcdonald, Castro and Pearson",Mr. Jack Stewart,2024-06-18,"06222 Lucas Meadow, New Kimberly, GU 17067",United States,rtorres@brady.com,630-614-5358,Health & Beauty
Cunningham-Rice,Eric Brown,2024-06-02,"983 Wise Flat Suite 125, Johnsonbury, MI 94790",United Kingdom,idiaz@rodriguez.info,001-386-829-4546x34149,Apparel
Bender-Underwood,Ryan Deleon,2023-12-30,"6083 Lindsay Via Apt. 931, New James, NM 67854",Singapore,hernandezshannon@evans.com,(204)391-2312,Home Goods
Ford-Payne,Nicholas Garcia,2022-05-16,"28357 David Hollow Apt. 162, Woodton, PA 71203",United States,jonathansingh@hardy.biz,001-220-677-2796x26610,Health & Beauty
King LLC,Michael Ward,2025-09-29,"0545 Dana Station Apt. 882, Snyderborough, ME 62739",United Kingdom,angelica11@house.com,(626)253-9004x07525,Health & Beauty
Sweeney-Thompson,Melissa Holmes,2022-10-01,"Unit 6521 Box 2935, DPO AP 89751",Singapore,katherinepatel@rush.com,9563718031,Apparel
Lee Group,Alexander Delacruz,2023-05-26,"1607 Maria Rapids, Davisbury, RI 29859",Singapore,clarkedward@alexander.net,8609492672,Food & Beverage
Martinez-Harvey,Ricky Walsh,2023-06-21,"8016 Smith Underpass, Johnsonmouth, VA 42359",Malaysia,emiller@white.com,507-721-5280x99799,Home Goods
Walsh-Jones,Amber Lopez,2023-01-25,"33138 Baldwin Roads Apt. 881, East Keithhaven, MP 72639",United Kingdom,hendersonbarbara@west-johnson.com,283-832-5775x539,Apparel
"Maynard, Green and Cook",Brandon Klein,2024-07-17,"Unit 8382 Box 3328, DPO AP 02417",Singapore,watsonsydney@hernandez.com,001-371-857-9186,Home Goods
Moss-Chapman,Eric Rose,2022-12-02,"9646 Ramirez Expressway, New Justin, NH 33909",United States,travischan@pace.org,+1-760-764-3971x80259,Food & Beverage
Jordan Ltd,Jeremiah Jones,2025-04-16,"30692 Melendez Lights Suite 349, North Abigailport, ID 85743",Singapore,jjackson@reynolds.com,+1-285-417-2466x765,Apparel
"Schmitt, Murphy and Warner",Wyatt Knox,2024-12-22,"21141 Gary Way, North Jenniferbury, MI 30809",China,longjose@leach-downs.info,285.409.6910x57000,Home Goods
"Johnson, Moore and Smith",Gabriel Gamble,2025-04-16,"51925 Dunn Brooks Apt. 157, Hawkinsberg, PW 59001",Thailand,adamfoster@thomas.com,(738)202-4673,Home Goods
"Carson, Thomas and Walters",Andrea Mills,2023-11-17,"9377 Heather Walks Apt. 046, West Nicholasberg, MP 17840",United Kingdom,seanleach@thomas.org,774.731.6027,Health & Beauty
Acevedo LLC,Amber Cole,2023-12-07,"102 Jeffrey Underpass, Port Michelleview, MI 42436",United Kingdom,rachel58@williams.org,413.604.4483,Electronics
