date,merchant_id,channel,txn_count,total_amt
2025-12-26,Burke-Woods,DuitNow QR Offline,1,42.21
2025-12-26,Burke-Woods,PayLater by Grab,1,65.27
2025-12-26,Burke-Woods,TNG eWallet Offline,1,228.34
2025-12-26,Burke-Woods,Visa,1,67.77
2025-12-26,Burns LLC,FPX,1,9.08
2025-12-26,"Cameron, Williams and Rojas",DuitNow QR Offline,1,13.77
2025-12-26,"Cameron, Williams and Rojas",FPX,1,68.56
2025-12-26,Campbell Ltd,DuitNow QR Offline,1,36.6
2025-12-26,Campbell Ltd,Google Pay,1,10.11
2025-12-26,Campbell Ltd,Mastercard,1,1696.69
2025-12-26,Campbell Ltd,TNG eWallet,2,282.38
2025-12-26,"Carlson, Lyons and Gonzalez",DuitNow QR Offline,1,0.63
2025-12-26,Carter Group,DuitNow QR Offline,1,55.12
2025-12-26,Carter Group,FPX,2,1202.88
2025-12-26,Chapman and Sons,DuitNow QR,1,41.1
2025-12-26,Chapman and Sons,Visa,1,43.89
2025-12-26,Chapman-Herrera,DuitNow QR Offline,5,189.93
2025-12-26,Chapman-Herrera,FPX,2,223.5
2025-12-26,Chavez-Ball,DuitNow QR Offline,1,4.25
2025-12-26,"Cowan, Ritter and Nichols",DuitNow QR,2,62.74
2025-12-26,"Cowan, Ritter and Nichols",TNG eWallet,2,106.15
2025-12-26,Cowan-Reyes,DuitNow QR,2,103.94
2025-12-26,Dean and Sons,FPX,2,70.5
2025-12-26,Dean and Sons,TNG eWallet,1,4.24
2025-12-26,Delacruz-Gilmore,DuitNow QR,1,59.53
2025-12-26,Delacruz-Gilmore,DuitNow QR Offline,1,60.88
2025-12-26,Dixon-Johnson,TNG eWallet Offline,1,41.7
2025-12-26,Douglas LLC,Shopee PayLater,1,54.01
2025-12-26,Douglas LLC,TNG eWallet Offline,1,9.59
2025-12-26,Evans-Flynn,DuitNow QR Offline,1,40.74
2025-12-26,Evans-Flynn,Shopee PayLater,1,5.28
2025-12-26,Figueroa Group,DuitNow QR,2,97.57
2025-12-26,Figueroa Group,Shopee PayLater,1,16.68
2025-12-26,Figueroa Group,TNG eWallet Offline,1,28.44
2025-12-26,Gomez PLC,TNG eWallet,1,58.93
2025-12-26,Gomez PLC,TNG eWallet Offline,1,13.38
2025-12-26,Gomez PLC,Visa,1,37.06
2025-12-26,Gonzales-Brown,DuitNow QR Offline,1,27.72
2025-12-26,Gonzales-Brown,FPX,2,35.55
2025-12-26,Gonzales-Brown,Shopee PayLater,1,46.85
2025-12-26,Gonzales-Brown,TNG eWallet,1,19.68
2025-12-26,Gonzales-Brown,TNG eWallet Offline,1,24.89
2025-12-26,Green-Vaughan,TNG eWallet,1,49.78
2025-12-26,Hall Inc,TNG eWallet Offline,1,419.72
2025-12-26,Hall and Sons,Mastercard,1,369.03
2025-12-26,Hall and Sons,TNG eWallet,1,694.21
2025-12-26,Hall and Sons,TNG eWallet Offline,1,13.42
2025-12-26,Hart LLC,TNG eWallet,1,55.49
2025-12-26,Hawkins-Wagner,DuitNow QR Offline,1,34.81
2025-12-26,"Hernandez, Church and Hughes",DuitNow QR,1,66.66
2025-12-26,Hernandez-Mitchell,Mastercard,1,45.74
2025-12-26,Hernandez-Mitchell,TNG eWallet,1,21.02
2025-12-26,"Huang, Berger and Martin",Visa,1,66.85
2025-12-26,Hughes and Sons,FPX,1,42.0
2025-12-26,Hughes and Sons,TNG eWallet Offline,1,72.86
2025-12-26,Ibarra Ltd,DuitNow QR,1,54.3
2025-12-26,Ibarra Ltd,Google Pay,1,39.74
2025-12-26,Ibarra Ltd,TNG eWallet,1,48.94
2025-12-26,Ibarra Ltd,Visa,1,0.59
2025-12-26,"James, Potter and Nguyen",TNG eWallet,1,13.14
2025-12-26,Johnson-Simpson,Visa,1,34.3
2025-12-26,Kaufman-Hooper,FPX,2,62.03
2025-12-26,Kaufman-Hooper,TNG eWallet,1,27.86
2025-12-26,Kelley-Wade,Mastercard,1,23.3
2025-12-26,King-Martinez,DuitNow QR Offline,1,0.55
2025-12-26,King-Martinez,TNG eWallet,2,65.81
2025-12-26,Lee Inc,DuitNow QR,1,216.77
2025-12-26,Lee Inc,Mastercard,1,30.03
2025-12-26,Lewis Inc,TNG eWallet Offline,1,0.52
2025-12-26,"Logan, Saunders and Hayes",DuitNow QR,1,11.06
2025-12-26,"Logan, Saunders and Hayes",Google Pay,1,322.35
2025-12-26,"Logan, Saunders and Hayes",PayLater by Grab,1,36.55
2025-12-26,"Logan, Saunders and Hayes",TNG eWallet Offline,2,408.90000000000003
2025-12-26,Logan-Silva,DuitNow QR Offline,1,988.91
2025-12-26,Logan-Silva,FPX,1,32.26
2025-12-26,Logan-Silva,Shopee PayLater,1,57.51
2025-12-26,Logan-Silva,TNG eWallet Offline,1,52.73
2025-12-26,"Marshall, Paul and Nelson",DuitNow QR,1,26.11
2025-12-26,Mathews-Hudson,TNG eWallet,1,41.13
2025-12-26,"May, Brown and Walters",Mastercard,1,15.31
2025-12-26,Mckinney-Cruz,Shopee PayLater,1,519.52
2025-12-26,"Mcmillan, Fowler and Calderon",Visa,1,14.36
2025-12-26,Mejia and Sons,TNG eWallet Offline,1,1265.3
2025-12-26,Mitchell-Wood,DuitNow QR,1,23.95
2025-12-26,Mitchell-Wood,FPX,1,41.27
2025-12-26,Mitchell-Wood,PayLater by Grab,1,0.81
2025-12-26,Morgan-Mcbride,PayLater by Grab,1,583.33
2025-12-26,Morgan-Mcbride,TNG eWallet,1,29.14
2025-12-26,Morgan-Mcbride,TNG eWallet Offline,1,34.0
2025-12-26,Morrow-Moore,TNG eWallet Offline,1,6.23
2025-12-26,Nguyen-Sheppard,DuitNow QR Offline,1,37.3
2025-12-26,Nguyen-Sheppard,TNG eWallet,1,542.14
2025-12-26,Owen Group,DuitNow QR,1,36.49
2025-12-26,Owen Group,FPX,1,23.01
2025-12-26,Owen Group,Mastercard,1,19.05
2025-12-26,Parks LLC,Mastercard,1,24.62
2025-12-26,Patel and Sons,DuitNow QR,1,0.58
2025-12-26,Patel and Sons,Google Pay,1,36.87
2025-12-26,"Perez, Knox and Cardenas",FPX,1,32.55
2025-12-26,"Perez, Knox and Cardenas",TNG eWallet,1,567.5
2025-12-26,Petersen LLC,TNG eWallet Offline,1,36.12
2025-12-26,"Peterson, Leonard and Carter",FPX,1,60.83
2025-12-26,"Peterson, Leonard and Carter",Visa,1,38.2
2025-12-26,Phillips Ltd,DuitNow QR Offline,1,10.79
2025-12-26,Phillips Ltd,TNG eWallet,1,35.79
2025-12-26,Phillips Ltd,TNG eWallet Offline,1,510.62
2025-12-26,"Ramirez, Cruz and Patrick",TNG eWallet,1,0.64
2025-12-26,Reed Group,Google Pay,1,72.01
2025-12-26,Reed Group,Mastercard,1,55.63
2025-12-26,Reed Group,TNG eWallet,1,41.33
2025-12-26,"Rice, Prince and Johnson",DuitNow QR,1,15.88
2025-12-26,"Rice, Prince and Johnson",FPX,1,470.09
2025-12-26,"Rice, Prince and Johnson",TNG eWallet,2,44.13
2025-12-26,Richards-Little,TNG eWallet,1,28.33
2025-12-26,Richardson-Goodman,FPX,1,22.54
2025-12-26,Richardson-Goodman,Mastercard,1,29.96
2025-12-26,Ritter-Stark,DuitNow QR,1,13.85
2025-12-26,Ritter-Stark,FPX,1,39.79
2025-12-26,Robinson Ltd,TNG eWallet,1,21.46
2025-12-26,Robinson Ltd,TNG eWallet Offline,1,37.82
2025-12-26,"Roman, Willis and Rojas",Shopee PayLater,1,30.05
2025-12-26,"Roman, Willis and Rojas",TNG eWallet Offline,1,19.76
2025-12-26,"Romero, Morrison and Morales",Apple Pay,1,0.54
2025-12-26,"Romero, Morrison and Morales",FPX,1,74.31
2025-12-26,Rubio Group,TNG eWallet,1,32.43
2025-12-26,"Schmidt, Villanueva and Smith",DuitNow QR,2,50.01
2025-12-26,"Schmidt, Villanueva and Smith",TNG eWallet,1,32.9
2025-12-26,"Schmidt, Villanueva and Smith",TNG eWallet Offline,2,52.879999999999995
2025-12-26,Scott LLC,TNG eWallet,1,17.55
2025-12-26,"Simmons, Mccarty and Weaver",DuitNow QR Offline,1,32.81
2025-12-26,"Simmons, Mccarty and Weaver",TNG eWallet,1,31.36
2025-12-26,"Smith, Cooper and Cabrera",Apple Pay,1,56.43
2025-12-26,"Smith, Cooper and Cabrera",FPX,1,494.28
2025-12-26,"Smith, Cooper and Cabrera",TNG eWallet,2,32.77
2025-12-26,"Smith, Cooper and Cabrera",TNG eWallet Offline,1,17.48
2025-12-26,"Smith, Ferguson and Lewis",DuitNow QR,1,32.92
2025-12-26,Stein-Kelly,TNG eWallet,1,60.88
2025-12-26,Sullivan Group,DuitNow QR,1,29.91
2025-12-26,Sullivan Group,FPX,1,20.6
2025-12-26,Sullivan Group,TNG eWallet,1,10.38
2025-12-26,Thomas PLC,FPX,1,37.96
2025-12-26,"Townsend, Bishop and Mccoy",DuitNow QR,1,37.31
2025-12-26,"Townsend, Bishop and Mccoy",DuitNow QR Offline,4,74.3
2025-12-26,"Townsend, Bishop and Mccoy",FPX,1,58.7
2025-12-26,"Townsend, Bishop and Mccoy",TNG eWallet,1,66.41
2025-12-26,"Tran, Ellis and West",DuitNow QR,1,0.97
2025-12-26,"Valdez, Moon and Miller",FPX,1,54.46
2025-12-26,Vasquez PLC,FPX,1,43.9
2025-12-26,Vega-Nelson,TNG eWallet Offline,1,5.07
2025-12-26,Warren-Avila,Apple Pay,1,37.25
2025-12-26,Warren-Avila,DuitNow QR,1,47.77
2025-12-26,Warren-Avila,TNG eWallet,1,20.54
2025-12-26,"Whitehead, Payne and Smith",DuitNow QR Offline,1,38.98
2025-12-26,"Whitehead, Payne and Smith",FPX,1,35.53
2025-12-26,Williams PLC,FPX,1,35.34
2025-12-26,Williams PLC,TNG eWallet,1,454.83
2025-12-27,Acosta PLC,Visa,1,32.28
2025-12-27,Aguilar PLC,Google Pay,1,46.56
2025-12-27,"Aguilar, Roberts and Pruitt",DuitNow QR,1,50.73
2025-12-27,"Aguilar, Roberts and Pruitt",Mastercard,1,12.08
2025-12-27,Ashley-Thomas,FPX,1,58.51
2025-12-27,Avery Ltd,Visa,1,14.8
2025-12-27,Bailey Group,DuitNow QR,1,42.1
2025-12-27,Bailey Group,DuitNow QR Offline,1,27.02
2025-12-27,Bailey Group,TNG eWallet,1,53.89
2025-12-27,Barnes-Taylor,DuitNow QR,2,83.17
2025-12-27,Barnes-Taylor,DuitNow QR Offline,2,58.8
2025-12-27,Barnes-Taylor,Visa,1,48.68
2025-12-27,Benton LLC,DuitNow QR,1,37.44
2025-12-27,Burke-Woods,DuitNow QR,1,37.83
2025-12-27,Burke-Woods,DuitNow QR Offline,1,12.13
2025-12-27,Burke-Woods,FPX,1,35.16
2025-12-27,Burke-Woods,TNG eWallet,1,49.61
2025-12-27,Burns LLC,DuitNow QR Offline,1,142.64
2025-12-27,Burns LLC,TNG eWallet,1,20.58
2025-12-27,"Cameron, Williams and Rojas",DuitNow QR,1,26.45
2025-12-27,Campbell Ltd,FPX,1,835.16
2025-12-27,Carter Group,FPX,1,807.8
2025-12-27,Carter Group,TNG eWallet,1,34.2
2025-12-27,Chapman and Sons,TNG eWallet,1,8.2
2025-12-27,Chapman-Herrera,TNG eWallet,1,61.93
2025-12-27,Chavez-Ball,Mastercard,1,34.2
2025-12-27,"Cowan, Ritter and Nichols",TNG eWallet,1,38.79
2025-12-27,Cowan-Reyes,Apple Pay,1,46.12
2025-12-27,Cox-Strong,TNG eWallet,2,28.939999999999998
2025-12-27,Dean and Sons,Apple Pay,1,22.65
2025-12-27,Dean and Sons,DuitNow QR Offline,1,64.59
2025-12-27,Dean and Sons,Mastercard,1,34.37
2025-12-27,Dean and Sons,TNG eWallet,1,138.86
2025-12-27,Delacruz-Gilmore,Visa,1,16.82
2025-12-27,Douglas LLC,TNG eWallet,3,752.4200000000001
2025-12-27,Douglas LLC,TNG eWallet Offline,1,31.05
2025-12-27,Ellison-Park,DuitNow QR Offline,1,67.36
2025-12-27,Ellison-Park,TNG eWallet,1,35.29
2025-12-27,Ellison-Park,TNG eWallet Offline,1,50.14
2025-12-27,Ellison-Park,Visa,1,47.79
2025-12-27,Evans-Flynn,Google Pay,1,53.85
2025-12-27,Gomez LLC,DuitNow QR Offline,1,16.93
2025-12-27,Gomez LLC,FPX,1,41.82
2025-12-27,Gomez LLC,PayLater by Grab,1,29.05
2025-12-27,Gomez LLC,Visa,1,64.28
2025-12-27,Gomez PLC,FPX,1,7.09
2025-12-27,Gonzales-Brown,Mastercard,1,0.8
2025-12-27,Gonzales-Brown,TNG eWallet,1,54.83
2025-12-27,Green-Vaughan,DuitNow QR,1,55.87
2025-12-27,Green-Vaughan,FPX,1,25.48
2025-12-27,Green-Vaughan,TNG eWallet,1,48.35
2025-12-27,Hall Inc,DuitNow QR,1,47.15
2025-12-27,Hall Inc,Mastercard,1,59.58
2025-12-27,Hall and Sons,FPX,1,183.83
2025-12-27,Hart LLC,FPX,1,55.04
2025-12-27,Hartman Group,DuitNow QR,1,21.92
2025-12-27,Hartman Group,TNG eWallet Offline,1,32.23
2025-12-27,Hawkins-Wagner,FPX,1,28.46
2025-12-27,Hernandez-Mitchell,DuitNow QR Offline,1,45.35
2025-12-27,Hernandez-Mitchell,FPX,1,0.87
2025-12-27,Hernandez-Mitchell,TNG eWallet Offline,1,42.35
2025-12-27,Hernandez-Mitchell,Visa,1,34.28
2025-12-27,"Huang, Berger and Martin",DuitNow QR,1,44.63
2025-12-27,Hughes and Sons,TNG eWallet,1,1068.97
2025-12-27,"Hughes, Taylor and Hicks",FPX,1,42.84
2025-12-27,"Hughes, Taylor and Hicks",PayLater by Grab,1,12.1
2025-12-27,Ibarra Ltd,DuitNow QR Offline,1,16.05
2025-12-27,Ibarra Ltd,PayLater by Grab,1,16.73
2025-12-27,Ibarra Ltd,TNG eWallet,1,42.87
2025-12-27,Ibarra Ltd,TNG eWallet Offline,1,575.97
2025-12-27,"James, Potter and Nguyen",DuitNow QR,2,59.83
2025-12-27,"James, Potter and Nguyen",DuitNow QR Offline,1,42.48
2025-12-27,"James, Potter and Nguyen",TNG eWallet,1,7.89
2025-12-27,Johnson-Becker,DuitNow QR,2,521.85
2025-12-27,Johnson-Simpson,FPX,1,34.43
2025-12-27,Johnson-Simpson,Mastercard,1,18.73
2025-12-27,Johnson-Simpson,TNG eWallet,2,67.00999999999999
2025-12-27,"Jordan, Robinson and Davis",DuitNow QR,2,72.61
2025-12-27,Kelley-Wade,Google Pay,1,34.5
2025-12-27,King-Martinez,Mastercard,1,17.78
2025-12-27,Lee Inc,TNG eWallet,1,28.04
2025-12-27,Lee Inc,TNG eWallet Offline,1,772.09
2025-12-27,Lee Inc,Visa,1,40.12
2025-12-27,"Logan, Saunders and Hayes",DuitNow QR,1,13.09
2025-12-27,"Logan, Saunders and Hayes",FPX,1,43.69
