Merchant ID,Country,Email,Phone Number,Channel,Transaction Count,Refund Count,Transaction Amount (MYR),Refund Amount (MYR),Refund Rate (%),Partial Refund Rate (%),Fully Refund Rate (%),Refund Level
White-Howard,China,martinezcrystal@miller.biz,001-474-709-6289x265,"TNG eWallet Offline, DuitNow QR Offline, Mastercard, FPX, TNG eWallet, Shopee PayLater, DuitNow QR, Visa, Google Pay, PayLater by Grab, Apple Pay",1872,111,187162.22,10155.22,5.93,16.22,83.78,average
Richardson-Goodman,Malaysia,zlam@chavez-bryant.org,001-311-859-4448x68507,"FPX, Shopee PayLater, TNG eWallet Offline, Mastercard, TNG eWallet, DuitNow QR, Visa, DuitNow QR Offline, Apple Pay, Google Pay, PayLater by Grab",2267,134,225713.87,9611.33,5.91,11.19,88.81,average
Peterson Group,China,wilsoncristina@cantu-cox.com,665-525-8065,"Apple Pay, DuitNow QR Offline, TNG eWallet Offline, Google Pay, DuitNow QR, Visa, Mastercard, FPX, Shopee PayLater, TNG eWallet, PayLater by Grab",899,53,88890.04,4594.39,5.9,9.43,90.57,average
"Valdez, Moon and Miller",China,deanmorgan@wolf-hopkins.org,001-374-332-4797x18241,"DuitNow QR, FPX, Apple Pay, TNG eWallet, DuitNow QR Offline, PayLater by Grab, Visa, Mastercard, Shopee PayLater, Google Pay, TNG eWallet Offline",984,58,100759.37,3863.28,5.89,20.69,79.31,average
"Tran, Ellis and West",Thailand,jorge41@campbell.biz,3537930583,"TNG eWallet Offline, TNG eWallet, DuitNow QR Offline, DuitNow QR, PayLater by Grab, Visa, Mastercard, FPX, Apple Pay, Shopee PayLater, Google Pay",1718,101,170290.63,8931.79,5.88,18.81,81.19,average
Burke-Woods,Thailand,travis02@watson-young.com,001-964-308-8890x549,"FPX, DuitNow QR Offline, Shopee PayLater, DuitNow QR, Mastercard, TNG eWallet Offline, TNG eWallet, Visa, Google Pay, Apple Pay, PayLater by Grab",1909,112,185539.36,9968.46,5.87,15.18,84.82,average
Benton LLC,Malaysia,chris33@smith.com,001-571-479-4551,"TNG eWallet, TNG eWallet Offline, FPX, DuitNow QR, Shopee PayLater, Apple Pay, Mastercard, DuitNow QR Offline, PayLater by Grab, Visa, Google Pay",1789,104,169058.93,8769.98,5.81,16.35,83.65,average
"Marshall, Paul and Nelson",China,kimberlycoleman@morgan.net,4753447107,"FPX, DuitNow QR Offline, Mastercard, DuitNow QR, TNG eWallet Offline, TNG eWallet, Visa, Shopee PayLater, PayLater by Grab, Apple Pay, Google Pay",1158,67,100806.22,5215.53,5.79,14.93,85.07,average
Ellison-Park,Malaysia,lewiserica@miller-hunter.com,001-958-395-5703,"DuitNow QR, TNG eWallet, FPX, Visa, DuitNow QR Offline, Mastercard, Apple Pay, TNG eWallet Offline, Shopee PayLater, Google Pay, PayLater by Grab",1355,72,127207.41,6881.11,5.31,16.67,83.33,average
Lee-White,Malaysia,jenniferjones@roman.com,+1-680-946-2071x324,"DuitNow QR, Mastercard, TNG eWallet, Visa, DuitNow QR Offline, Apple Pay, FPX, TNG eWallet Offline, Google Pay, Shopee PayLater, PayLater by Grab",1670,86,160879.49,6865.08,5.15,16.28,83.72,average
"Perez, Knox and Cardenas",Thailand,mcdanieljeremy@willis-lane.net,757.660.6827x90080,"DuitNow QR Offline, FPX, DuitNow QR, Mastercard, TNG eWallet, PayLater by Grab, Visa, Google Pay, TNG eWallet Offline, Shopee PayLater, Apple Pay",833,41,75462.59,1734.66,4.92,26.83,73.17,low
