merchant_id,leader_name,create_date,address,country,email,phone,industry
Carter Group,Michelle Young,2022-02-05,"Unit 7423 Box 7931, DPO AP 90592",China,markperkins@strickland.org,377.362.5867x326,Home Goods
"Aguilar, Roberts and Pruitt",Patrick Lewis,2024-05-21,"PSC 9721, Box 2069, APO AE 62202",Malaysia,allisongould@walker.com,+1-474-212-6969x29803,Health & Beauty
Phillips PLC,John Allison,2023-12-15,"931 Ronald Spring, Moniquefurt, WI 03440",Malaysia,santosstephanie@bell-weber.com,+1-577-306-4096x6367,Apparel
Aguirre-Adams,Christopher Stewart,2023-06-22,"89875 Smith Pines Suite 619, Jonville, KY 28210",United Kingdom,nicholas88@curry-blake.info,001-529-639-2070x256,Apparel
"Peterson, Leonard and Carter",April Oliver,2023-07-08,"810 John Burgs, Wallstown, AS 57705",United Kingdom,connie78@miller.org,001-663-229-0842x75234,Health & Beauty
Cruz-Henry,Kimberly Coleman,2022-07-16,"9512 Boyd Estates Suite 757, Wongshire, VA 13916",Thailand,ystrickland@barr.com,(472)383-5197,Health & Beauty
Hernandez-Mitchell,Amanda Hansen,2025-01-01,"PSC 7251, Box 5635, APO AA 56919",United States,jay95@jensen-wright.com,001-237-989-3361x219,Food & Beverage
"Cameron, Williams and Rojas",Mrs. Jill Cannon DDS,2024-08-08,"43107 Tiffany Center Suite 623, Smithview, ME 12933",United States,nleonard@foster-williams.com,001-398-852-9546x485,Home Goods
Logan Inc,Katherine Wang,2022-04-24,"477 Alicia Summit Suite 497, Ferrellshire, WY 18469",Malaysia,toddjoshua@wright.com,901-743-6865,Travel
Bailey Group,Michael Shah,2022-05-18,"32249 Moore Port Apt. 342, Costatown, AS 66260",United States,brittneyreed@lucas.com,001-740-569-0769,Home Goods
Ellison-Park,Doris Rodriguez,2022-11-13,"117 John Passage Apt. 376, Colemanburgh, AL 44997",Malaysia,lewiserica@miller-hunter.com,001-958-395-5703,Food & Beverage
Owen Group,David Lopez,2022-05-19,"749 Meza Mount Suite 684, East Ryan, NY 38778",Singapore,brownstacy@gilbert-herrera.info,703-499-0958,Travel
"Rivera, Webster and Rose",Heather Bradley,2025-03-16,"2488 Laura Forge Suite 251, Elizabethshire, PA 35015",United Kingdom,robertbailey@maxwell.com,001-700-517-6059,Electronics
Ashley-Thomas,Edward Scott,2024-11-25,"9432 Page Road Apt. 690, South Derrickchester, NV 58758",United States,oross@henderson-lin.com,956.288.8203,Home Goods
"Hughes, Taylor and Hicks",Martha Anderson,2023-03-15,"82519 Christopher Junctions, Kathleenshire, VI 56258",United States,catherinecox@johnson.com,5533623911,Food & Beverage
Douglas LLC,Erin Steele,2023-07-18,"8921 Dawn Stream Suite 731, Lake Joshua, FM 75248",United Kingdom,kingjames@howe.com,3888871716,Travel
Lee-White,Regina Murphy,2024-03-26,"699 Hardin Highway Apt. 559, Rodriguezland, KS 90227",Malaysia,jenniferjones@roman.com,+1-680-946-2071x324,Electronics
"May, Brown and Walters",Donald Lee,2024-03-31,"Unit 7749 Box 5471, DPO AA 51377",United States,matthewsmargaret@garcia-torres.com,754-893-8412x02317,Apparel
Hall Inc,Jessica Williams,2024-10-29,"42327 Eric Estates, Angelabury, FM 13933",United States,druiz@wall-davila.info,001-226-519-0662,Apparel
Chavez-Ball,David Wade,2022-10-09,"7388 Smith Port, Port Brenda, PA 65626",Singapore,kelsey10@stanton.com,491.374.6392x684,Travel
Delacruz-Gilmore,Travis Mcgee,2023-02-07,"29955 Medina Islands Apt. 180, East Keith, AL 19332",China,qroberts@russell-romero.com,001-630-697-8939,Apparel
Johnson-Becker,Randy Curtis,2023-09-19,"85153 Mendoza Prairie, Wallsside, VT 37542",Thailand,barbarathomas@marshall.net,2012964759,Electronics
Kelley-Wade,Mrs. Diana Parker,2023-12-06,"017 Greene Park Suite 688, Jamesfort, ID 90982",United States,tommyquinn@smith.com,435-590-1262,Home Goods
Nguyen-Sheppard,Debra Lopez,2024-08-28,"748 Nancy Vista, Sanchezfort, OH 76746",China,debramorales@griffin-young.com,(830)307-2664,Travel
Cowan-Reyes,Kyle Smith,2024-11-15,"77030 Cheryl Spur Suite 400, Kellyfurt, NC 43380",United States,fking@morales-kirby.biz,(381)922-0872x56820,Home Goods
"Townsend, Bishop and Mccoy",Kaylee Meza,2022-04-05,"69230 King Harbor, Bryantfurt, OK 04225",Singapore,george86@fuentes-ortiz.org,992-824-8992x803,Home Goods
Mejia-Bradley,Stacy Patterson,2023-10-24,"1902 Huber Port, Jonesstad, FL 58352",United States,bhuerta@gomez.org,3409365383,Electronics
Mitchell-Wood,Amber Alvarez,2023-09-14,"1424 Browning Fort Apt. 938, West Dannyside, MS 10525",China,henrykramer@allen-miller.net,310.571.0896,Electronics
Robinson Ltd,Jose Best,2024-09-05,"851 Thomas Point Apt. 710, Angelaton, LA 90483",China,melissa65@miller.com,001-889-223-4531x11104,Electronics
Petersen LLC,Jared Mullins,2024-06-22,"59072 Rhonda Mount, Rosstown, WV 82258",United Kingdom,hector67@stanley-carter.com,695.597.2103,Health & Beauty
Barnes-Taylor,Lee Kennedy,2023-12-10,"PSC 3958, Box 3694, APO AA 14776",China,gabriel38@roberts.com,2079465434,Electronics
Benton LLC,Jimmy Swanson,2025-10-12,"4640 Chase Bridge, South David, OK 98982",Malaysia,chris33@smith.com,001-571-479-4551,Travel
"Hernandez, Church and Hughes",Christopher Mullins,2024-05-08,"334 Hickman Freeway Suite 842, Thompsonside, MP 78178",Malaysia,nhill@johnson.com,(567)232-7016x641,Food & Beverage
Ibarra Ltd,Matthew Wells,2022-09-18,"PSC 3811, Box 6447, APO AA 36219",China,matthewandrews@daniels-kelly.info,(859)367-6669x087,Electronics
Green-Vaughan,Jonathan Gates,2025-05-15,"63225 Jacqueline Knolls Apt. 707, Lake Chelseashire, FL 86479",Thailand,astone@perez.com,495-871-4412x6638,Food & Beverage
"Tran, Ellis and West",Robin Huang,2025-09-20,"PSC 9347, Box 2116, APO AE 26028",Thailand,jorge41@campbell.biz,3537930583,Food & Beverage
Kaufman-Hooper,Kevin Ramirez,2025-08-31,"364 Torres Lodge Suite 020, New Cathy, AZ 58548",Malaysia,charlene40@marshall-pollard.info,+1-964-956-0326x944,Travel
Burke-Woods,Laura Watson,2025-01-02,"14792 Jennifer Heights Suite 970, East Benjaminborough, CT 98357",Thailand,travis02@watson-young.com,001-964-308-8890x549,Electronics
Logan-Silva,Todd Bradshaw,2022-02-13,"USNS Everett, FPO AP 86828",United Kingdom,nbutler@odom.com,483.513.2764x06171,Apparel
Miranda and Sons,Matthew Bright,2025-07-05,"24328 Bailey Stravenue, Anthonystad, NE 54644",Thailand,bryan96@duncan.com,001-532-665-0654x183,Travel
Scott LLC,Gregory Santiago,2023-10-24,"PSC 9255, Box 5466, APO AP 58462",United States,christian06@rogers-silva.org,(870)927-6906,Apparel
Mathews-Hudson,Terri Elliott,2023-11-26,"498 Murphy Club Suite 143, Barreraport, IN 40886",Singapore,carol63@white.info,702.759.5309x164,Home Goods
Parks LLC,Robert Spencer,2022-10-03,"31314 Debra Hollow Apt. 782, East Kyle, SC 31872",United States,rsmith@bridges-perez.net,+1-700-246-8204x860,Health & Beauty
Burns LLC,Stephen Cox,2024-10-26,"9282 Nicholas Crest Suite 785, South Stanley, SC 65483",Thailand,acruz@thompson.com,704-831-4434,Food & Beverage
Gomez LLC,Tanya Smith,2025-04-05,"774 Sean Walk Suite 483, Serranotown, SD 68413",United States,justin26@white.com,(387)597-9167x43461,Home Goods
"Marshall, Paul and Nelson",Jonathan Kidd,2024-05-03,"01339 Marie Trail Suite 156, Lake Jill, VT 41211",China,kimberlycoleman@morgan.net,4753447107,Travel
"Perez, Knox and Cardenas",Wanda Rice,2024-07-21,"904 Lisa Spring Apt. 232, Port Robert, OK 29678",Thailand,mcdanieljeremy@willis-lane.net,757.660.6827x90080,Food & Beverage
Thomas PLC,Vernon Acosta,2023-06-06,"21632 Ramirez Island, Peggyborough, LA 68691",United States,isabel37@fisher.com,(218)569-5329x527,Electronics
Figueroa Group,Joshua Anderson,2025-01-11,"125 Lynn Fort, New Melissaborough, VT 28512",Malaysia,jonathan06@jenkins-frye.com,533.552.0281,Health & Beauty
Vega-Nelson,Sarah Smith,2023-03-31,"34485 Neal Harbors, East Joseborough, IN 44420",Singapore,justin88@smith.com,776-519-7551x59982,Apparel
White-Howard,Charles Taylor,2023-01-20,"37656 Padilla Plains Suite 347, Brownfurt, AS 92257",China,martinezcrystal@miller.biz,001-474-709-6289x265,Home Goods
"Rice, Prince and Johnson",Cheryl Cox,2024-06-06,"54575 Perry Station, Littleton, OR 16484",Thailand,rodgersemily@andersen-sheppard.com,949.854.6665x429,Electronics
Sullivan Group,Amanda Estes,2024-03-29,"69231 Christopher Ferry Apt. 350, Tamaramouth, VI 66899",China,westbrandon@rodriguez.com,+1-889-207-9449x66952,Travel
Gomez PLC,Heidi Whitaker,2024-05-12,"325 Michelle Manor Suite 744, Kaylaborough, HI 67687",Malaysia,kavila@jones.biz,(705)766-3972,Electronics
Acosta PLC,Katie Gallegos,2023-10-17,"176 Pamela Pine Apt. 476, Amberborough, VT 54678",Singapore,keith47@montgomery-brown.com,+1-326-947-9770x4471,Food & Beverage
"Huang, Berger and Martin",Derrick Zuniga,2025-01-12,"60450 Elizabeth Ridges Suite 464, Murraymouth, ND 70900",Malaysia,wgill@smith.com,(418)419-7484x6290,Apparel
Williams-Walker,Cindy Decker,2023-04-28,"81197 Maria Points, South David, MO 77469",Thailand,grahamerin@medina.net,(900)419-3899,Apparel
Rubio Group,Nicole Wiley,2022-10-30,"1457 Brianna Row, Lake Justinton, MP 49405",United Kingdom,jasmine86@smith.com,2545792158,Electronics
Gonzales-Brown,Kimberly Green,2024-05-11,"82500 Edward Freeway Apt. 567, Nicholsbury, NC 38898",United Kingdom,jayjames@perkins-salinas.info,(718)811-0651x665,Travel
Morrow-Moore,Richard Higgins,2023-08-06,"0351 Lauren Field, North Jeffreyburgh, SD 81509",China,jenniferknox@collins.biz,9483251049,Apparel
Morgan-Mcbride,Christine Jackson,2022-09-06,"41745 Teresa Wall Apt. 848, South Kevin, AZ 19635",United States,laneshannon@melton.biz,502-474-3650,Health & Beauty
"Cowan, Ritter and Nichols",Mary Ferguson,2022-06-01,"205 Wang Drive Apt. 977, North Dorothy, DC 85049",Malaysia,zhines@martinez-conner.com,323.708.1943x966,Electronics
Evans-Flynn,Robin Montgomery,2022-02-10,"8857 Tonya Passage Suite 987, Angelafort, OK 81106",Thailand,landrytoni@sutton-jones.com,001-773-919-9689,Apparel
Mckinney-Cruz,Robert Conley,2023-08-21,"36378 Dean Station, Stephaniefurt, WV 52026",Malaysia,hhowell@rodgers-scott.com,+1-955-883-4526,Food & Beverage
